INFO  | 01/03/2023 12:36:24 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000009 = 0.08331473171710968
INFO  | 01/03/2023 12:36:27 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000010 = 0.08331446349620819
INFO  | 01/03/2023 12:36:30 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000011 = 0.08331423252820969
INFO  | 01/03/2023 12:36:33 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000012 = 0.0833139419555664
INFO  | 01/03/2023 12:36:36 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000013 = 0.08331359177827835
INFO  | 01/03/2023 12:36:39 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000014 = 0.0833132416009903
INFO  | 01/03/2023 12:36:42 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0007 iteration 00000015 = 0.08331291377544403
INFO  | 01/03/2023 12:36:49 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0007 = 0.08331261575222015
INFO  | 01/03/2023 12:36:49 PM | File ctrnn_runner.py      | Line 158   | Saving Snapshot @ epoch 0007
INFO  | 01/03/2023 12:36:49 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0007 = 0.08331526583060622
INFO  | 01/03/2023 12:36:52 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000000 = 0.08331262320280075
INFO  | 01/03/2023 12:36:55 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000001 = 0.08331234008073807
INFO  | 01/03/2023 12:36:58 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000002 = 0.083312027156353
INFO  | 01/03/2023 12:37:01 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000003 = 0.08331166952848434
INFO  | 01/03/2023 12:37:04 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000004 = 0.08331132680177689
INFO  | 01/03/2023 12:37:06 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000005 = 0.08331099897623062
INFO  | 01/03/2023 12:37:09 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000006 = 0.08331069350242615
INFO  | 01/03/2023 12:37:12 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000007 = 0.08331038057804108
INFO  | 01/03/2023 12:37:15 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000008 = 0.08331003785133362
INFO  | 01/03/2023 12:37:18 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000009 = 0.08330967277288437
INFO  | 01/03/2023 12:37:21 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000010 = 0.08330933749675751
INFO  | 01/03/2023 12:37:24 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000011 = 0.08330899477005005
INFO  | 01/03/2023 12:37:26 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000012 = 0.08330865949392319
INFO  | 01/03/2023 12:37:29 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000013 = 0.08330831676721573
INFO  | 01/03/2023 12:37:32 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000014 = 0.08330795913934708
INFO  | 01/03/2023 12:37:36 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0008 iteration 00000015 = 0.08330759406089783
INFO  | 01/03/2023 12:37:42 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0008 = 0.08330723643302917
INFO  | 01/03/2023 12:37:42 PM | File ctrnn_runner.py      | Line 158   | Saving Snapshot @ epoch 0008
INFO  | 01/03/2023 12:37:42 PM | File ctrnn_runner.py      | Line 167   | Avg training Loss @ the end of epoch 0008 = 0.08331016451120377
INFO  | 01/03/2023 12:37:45 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000000 = 0.08330723643302917
INFO  | 01/03/2023 12:37:48 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000001 = 0.08330687135457993
INFO  | 01/03/2023 12:37:51 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000002 = 0.08330652117729187
INFO  | 01/03/2023 12:37:54 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000003 = 0.08330614864826202
INFO  | 01/03/2023 12:37:57 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000004 = 0.08330577611923218
INFO  | 01/03/2023 12:38:00 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000005 = 0.08330539613962173
INFO  | 01/03/2023 12:38:03 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000006 = 0.08330501616001129
INFO  | 01/03/2023 12:38:05 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000007 = 0.08330463618040085
INFO  | 01/03/2023 12:38:08 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000008 = 0.08330424129962921
INFO  | 01/03/2023 12:38:11 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000009 = 0.08330385386943817
INFO  | 01/03/2023 12:38:14 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000010 = 0.08330345153808594
INFO  | 01/03/2023 12:38:17 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000011 = 0.0833030566573143
INFO  | 01/03/2023 12:38:19 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000012 = 0.08330264687538147
INFO  | 01/03/2023 12:38:22 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000013 = 0.08330223709344864
INFO  | 01/03/2023 12:38:25 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0009 iteration 00000014 = 0.08330181241035461
